three_letter,country,year,intind,intviol,intwar,civviol,civwar,ethviol,ethwar
AFG,Afghanistan,1946,0,0,0,0,0,0,0
AFG,Afghanistan,1947,0,0,0,0,0,0,0
AFG,Afghanistan,1948,0,0,0,0,0,0,0
AFG,Afghanistan,1949,0,0,0,0,0,0,0
AFG,Afghanistan,1950,0,0,0,0,0,0,0
AFG,Afghanistan,1951,0,0,0,0,0,0,0
AFG,Afghanistan,1952,0,0,0,0,0,0,0
AFG,Afghanistan,1953,0,0,0,0,0,0,0
AFG,Afghanistan,1954,0,0,0,0,0,0,0
AFG,Afghanistan,1955,0,0,0,0,0,0,0
AFG,Afghanistan,1956,0,0,0,0,0,0,0
AFG,Afghanistan,1957,0,0,0,0,0,0,0
AFG,Afghanistan,1958,0,0,0,0,0,0,0
AFG,Afghanistan,1959,0,0,0,0,0,0,0
AFG,Afghanistan,1960,0,0,0,0,0,0,0
AFG,Afghanistan,1961,0,0,0,0,0,0,0
AFG,Afghanistan,1962,0,0,0,0,0,0,0
AFG,Afghanistan,1963,0,0,0,0,0,0,0
AFG,Afghanistan,1964,0,0,0,0,0,0,0
AFG,Afghanistan,1965,0,0,0,0,0,0,0
AFG,Afghanistan,1966,0,0,0,0,0,0,0
AFG,Afghanistan,1967,0,0,0,0,0,0,0
AFG,Afghanistan,1968,0,0,0,0,0,0,0
AFG,Afghanistan,1969,0,0,0,0,0,0,0
AFG,Afghanistan,1970,0,0,0,0,0,0,0
AFG,Afghanistan,1971,0,0,0,0,0,0,0
AFG,Afghanistan,1972,0,0,0,0,0,0,0
AFG,Afghanistan,1973,0,0,0,0,0,0,0
AFG,Afghanistan,1974,0,0,0,0,0,0,0
AFG,Afghanistan,1975,0,0,0,0,0,0,0
AFG,Afghanistan,1976,0,0,0,0,0,0,0
AFG,Afghanistan,1977,0,0,0,0,0,0,0
AFG,Afghanistan,1978,0,0,0,0,7,0,0
AFG,Afghanistan,1979,0,0,0,0,7,0,0
AFG,Afghanistan,1980,0,0,0,0,7,0,0
AFG,Afghanistan,1981,0,0,0,0,7,0,0
AFG,Afghanistan,1982,0,0,0,0,7,0,0
AFG,Afghanistan,1983,0,0,0,0,7,0,0
AFG,Afghanistan,1984,0,0,0,0,7,0,0
AFG,Afghanistan,1985,0,0,0,0,7,0,0
AFG,Afghanistan,1986,0,0,0,0,7,0,0
AFG,Afghanistan,1987,0,0,0,0,7,0,0
AFG,Afghanistan,1988,0,0,0,0,7,0,0
AFG,Afghanistan,1989,0,0,0,0,7,0,0
AFG,Afghanistan,1990,0,0,0,0,7,0,0
AFG,Afghanistan,1991,0,0,0,0,7,0,0
AFG,Afghanistan,1992,0,0,0,0,7,0,0
AFG,Afghanistan,1993,0,0,0,0,7,0,0
AFG,Afghanistan,1994,0,0,0,0,7,0,0
AFG,Afghanistan,1995,0,0,0,0,7,0,0
AFG,Afghanistan,1996,0,0,0,0,7,0,0
AFG,Afghanistan,1997,0,0,0,0,7,0,0
AFG,Afghanistan,1998,0,0,0,0,7,0,0
AFG,Afghanistan,1999,0,0,0,0,7,0,0
AFG,Afghanistan,2000,0,0,0,0,7,0,0
AFG,Afghanistan,2001,0,0,3,0,7,0,0
AFG,Afghanistan,2002,0,0,3,0,0,0,0
AFG,Afghanistan,2003,0,0,3,0,0,0,0
AFG,Afghanistan,2004,0,0,3,0,0,0,0
AFG,Afghanistan,2005,0,0,3,0,0,0,0
AFG,Afghanistan,2006,0,0,3,0,0,0,0
AFG,Afghanistan,2007,0,0,3,0,0,0,0
AFG,Afghanistan,2008,0,0,3,0,0,0,0
AFG,Afghanistan,2009,0,0,3,0,0,0,0
AFG,Afghanistan,2010,0,0,3,0,0,0,0
AFG,Afghanistan,2011,0,0,3,0,0,0,0
AFG,Afghanistan,2012,0,0,3,0,0,0,0
ALB,Albania,1946,0,0,0,0,0,0,0
ALB,Albania,1947,0,0,0,0,0,0,0
ALB,Albania,1948,0,0,0,0,0,0,0
ALB,Albania,1949,0,0,0,0,0,0,0
ALB,Albania,1950,0,0,0,0,0,0,0
ALB,Albania,1951,0,0,0,0,0,0,0
ALB,Albania,1952,0,0,0,0,0,0,0
ALB,Albania,1953,0,0,0,0,0,0,0
ALB,Albania,1954,0,0,0,0,0,0,0
ALB,Albania,1955,0,0,0,0,0,0,0
ALB,Albania,1956,0,0,0,0,0,0,0
ALB,Albania,1957,0,0,0,0,0,0,0
ALB,Albania,1958,0,0,0,0,0,0,0
ALB,Albania,1959,0,0,0,0,0,0,0
ALB,Albania,1960,0,0,0,0,0,0,0
ALB,Albania,1961,0,0,0,0,0,0,0
ALB,Albania,1962,0,0,0,0,0,0,0
ALB,Albania,1963,0,0,0,0,0,0,0
ALB,Albania,1964,0,0,0,0,0,0,0
ALB,Albania,1965,0,0,0,0,0,0,0
ALB,Albania,1966,0,0,0,0,0,0,0
ALB,Albania,1967,0,0,0,0,0,0,0
ALB,Albania,1968,0,0,0,0,0,0,0
ALB,Albania,1969,0,0,0,0,0,0,0
ALB,Albania,1970,0,0,0,0,0,0,0
ALB,Albania,1971,0,0,0,0,0,0,0
ALB,Albania,1972,0,0,0,0,0,0,0
ALB,Albania,1973,0,0,0,0,0,0,0
ALB,Albania,1974,0,0,0,0,0,0,0
ALB,Albania,1975,0,0,0,0,0,0,0
ALB,Albania,1976,0,0,0,0,0,0,0
ALB,Albania,1977,0,0,0,0,0,0,0
ALB,Albania,1978,0,0,0,0,0,0,0
ALB,Albania,1979,0,0,0,0,0,0,0
ALB,Albania,1980,0,0,0,0,0,0,0
ALB,Albania,1981,0,0,0,0,0,0,0
ALB,Albania,1982,0,0,0,0,0,0,0
ALB,Albania,1983,0,0,0,0,0,0,0
ALB,Albania,1984,0,0,0,0,0,0,0
